Date/heure;O3;NO2;SO2;CO;PM10
14.10.2010;77.9;41.9;4.1;0.46;35.6
15.10.2010;73.7;49.9;4.9;0.55;52.9
16.10.2010;44.7;47.7;3.4;0.47;57.8
17.10.2010;47.8;26.6;2.4;0.36;20.9
18.10.2010;47.6;29.6;4.3;0.41;12.2
19.10.2010;54.8;38.9;5.8;0.40;
20.10.2010;71.5;28.6;5.1;0.33;7.8
21.10.2010;72.5;34.7;4.6;0.33;
22.10.2010;54.0;44.6;6.3;0.45;23.6
23.10.2010;29.2;43.6;7.1;0.53;36.8
24.10.2010;55.0;33.1;4.4;0.46;44.7
25.10.2010;76.4;23.4;3.0;0.25;3.5
26.10.2010;51.6;38.1;5.9;0.41;
27.10.2010;43.5;40.5;6.1;0.44;19.7
28.10.2010;55.3;46.4;8.1;0.47;17.7
29.10.2010;45.2;44.9;7.8;0.47;16.8
30.10.2010;31.0;50.3;8.3;0.47;24.4
31.10.2010;52.3;37.8;3.1;0.40;9.6
01.11.2010;43.5;40.6;4.5;0.48;13.1
02.11.2010;14.8;41.3;5.7;0.56;16.7
03.11.2010;23.0;37.4;5.4;0.52;17.6
04.11.2010;37.6;39.0;5.1;0.51;29.3
05.11.2010;36.9;37.3;4.9;0.54;28.6
06.11.2010;44.9;39.4;5.8;0.46;21.3
07.11.2010;52.8;36.3;4.0;0.48;25.4
08.11.2010;68.0;42.8;3.8;0.36;9.1
09.11.2010;38.9;48.9;4.6;0.42;13.2
10.11.2010;19.5;52.0;5.5;0.54;17.1
11.11.2010;31.4;39.8;6.1;0.52;17.8
12.11.2010;50.3;42.2;7.2;0.56;18.6
13.11.2010;22.4;38.8;8.3;0.60;23.9
14.11.2010;15.6;43.3;4.5;0.74;35.1
15.11.2010;10.1;55.6;2.7;0.79;18.9
16.11.2010;33.7;41.6;4.1;0.47;8.7
17.11.2010;35.8;36.9;6.3;0.54;14.4
18.11.2010;43.0;40.8;5.9;0.49;14.5
19.11.2010;49.9;37.6;4.8;0.43;11.3
20.11.2010;35.1;39.7;6.4;0.42;12.8
21.11.2010;51.4;27.5;3.6;0.31;5.9
22.11.2010;45.7;47.2;5.0;0.45;11.7
23.11.2010;44.5;29.9;4.9;0.41;9.4
24.11.2010;58.8;33.0;4.2;0.36;6.4
25.11.2010;46.8;46.0;8.7;0.54;
26.11.2010;73.1;27.9;3.4;0.28;
27.11.2010;72.6;26.9;5.6;0.28;8.6
28.11.2010;45.0;32.4;4.7;0.38;17.1
29.11.2010;62.2;47.5;7.7;0.48;17.1
30.11.2010;40.9;57.9;9.8;0.45;16.1
01.12.2010;32.4;60.9;7.0;0.60;17.7
02.12.2010;12.9;55.7;9.2;0.62;20.6
03.12.2010;42.5;52.8;8.2;0.53;20.5
04.12.2010;63.8;46.4;8.6;0.45;17.7
05.12.2010;35.4;47.7;10.3;0.48;27.8
06.12.2010;32.7;61.1;8.2;0.68;27.4
07.12.2010;4.6;56.6;10.6;0.78;25.6
08.12.2010;7.6;38.8;7.5;0.61;19.1
09.12.2010;79.4;22.4;3.5;0.31;7.5
10.12.2010;83.3;30.4;4.0;0.28;5.1
11.12.2010;34.8;53.0;11.7;0.54;18.3
12.12.2010;82.9;29.9;8.8;0.32;8.2
13.12.2010;68.4;30.3;5.5;0.33;8.1
14.12.2010;65.1;38.3;8.8;0.36;10.3
15.12.2010;73.5;19.7;2.9;0.24;6.8
16.12.2010;68.1;61.8;9.3;0.52;26.6
17.12.2010;10.2;80.3;7.1;0.70;49.2
18.12.2010;56.0;58.1;11.3;0.55;24.8
19.12.2010;40.8;44.1;10.1;0.41;23.5
20.12.2010;36.9;49.1;8.7;0.57;28.9
21.12.2010;5.0;64.8;10.3;0.79;31.3
22.12.2010;2.9;64.7;8.7;1.01;31.5
23.12.2010;8.2;56.7;6.2;0.69;14.7
24.12.2010;6.8;54.0;5.1;0.67;12.5
25.12.2010;34.8;32.0;4.6;0.50;4.1
26.12.2010;78.4;10.9;3.0;0.25;2.9
27.12.2010;66.7;40.2;7.8;0.42;14.3
28.12.2010;55.7;44.1;9.9;0.48;20.0
29.12.2010;35.4;52.0;11.9;0.60;28.9
30.12.2010;13.6;59.3;14.8;0.78;38.7
31.12.2010;36.6;47.7;11.6;0.61;27.6
01.01.2011;42.9;38.1;10.8;0.53;29.2
02.01.2011;47.9;38.9;10.1;0.49;31.6
03.01.2011;34.8;49.5;11.5;0.52;24.6
04.01.2011;29.3;52.1;10.2;0.56;33.3
05.01.2011;11.6;60.4;10.5;0.67;43.3
06.01.2011;14.2;50.7;11.4;0.56;39.6
07.01.2011;7.4;52.3;7.7;0.76;48.8
08.01.2011;3.2;45.4;6.6;0.93;28.9
09.01.2011;1.8;45.8;4.9;1.12;27.3
10.01.2011;2.5;52.9;5.5;1.23;24.6
11.01.2011;14.2;52.7;6.4;0.74;19.7
12.01.2011;15.9;53.9;9.1;0.66;17.9
13.01.2011;38.1;51.0;10.5;0.70;20.3
14.01.2011;8.9;67.3;9.4;1.15;41.6
15.01.2011;14.4;63.8;9.0;1.14;49.9
