Date/heure;O3;NO2;CO;PM10
08.03.2007;45.0;67.0;0.84;37.2
09.03.2007;69.1;53.4;0.70;39.0
10.03.2007;61.2;46.8;0.63;13.4
11.03.2007;74.0;45.8;0.65;21.7
12.03.2007;54.1;62.5;0.70;35.4
13.03.2007;71.8;73.7;0.92;37.2
14.03.2007;66.8;75.7;0.91;50.6
15.03.2007;68.9;77.6;0.98;77.2
16.03.2007;81.5;77.2;0.90;80.1
17.03.2007;95.0;53.1;0.65;57.1
18.03.2007;90.4;36.4;0.49;32.6
19.03.2007;74.8;42.4;0.38;16.9
20.03.2007;67.4;50.8;0.52;31.2
21.03.2007;37.4;70.6;0.75;38.1
22.03.2007;54.9;57.8;0.59;34.4
23.03.2007;53.1;51.1;0.50;23.2
24.03.2007;54.0;44.4;0.60;27.8
25.03.2007;51.4;46.4;0.72;32.8
26.03.2007;58.0;62.4;0.81;52.4
27.03.2007;87.8;66.8;0.71;45.7
28.03.2007;79.9;75.7;0.78;38.9
29.03.2007;101.1;67.0;0.73;46.2
30.03.2007;79.0;54.4;0.60;38.7
31.03.2007;75.5;43.0;0.49;21.3
01.04.2007;82.4;44.8;0.68;36.2
02.04.2007;83.4;63.5;0.70;36.8
03.04.2007;77.7;67.2;0.75;30.7
04.04.2007;58.4;59.4;0.64;30.7
05.04.2007;58.0;61.0;0.67;50.2
06.04.2007;87.3;52.8;0.66;37.3
07.04.2007;92.7;46.0;0.55;27.1
08.04.2007;81.5;33.8;0.43;44.9
09.04.2007;105.4;32.3;0.45;30.0
10.04.2007;90.7;59.0;0.53;30.0
11.04.2007;101.9;63.9;0.60;38.6
12.04.2007;103.6;73.4;0.73;37.2
13.04.2007;98.1;74.7;0.69;36.1
14.04.2007;112.1;52.1;0.59;31.3
15.04.2007;116.8;48.6;0.53;26.7
16.04.2007;108.1;68.6;0.65;36.4
17.04.2007;92.2;63.5;0.58;33.7
18.04.2007;87.3;55.1;0.51;40.4
19.04.2007;85.7;77.0;0.60;44.2
20.04.2007;111.1;70.9;0.65;46.3
21.04.2007;117.3;57.5;0.59;41.8
22.04.2007;141.3;39.9;0.49;27.9
23.04.2007;113.4;60.2;0.65;39.1
24.04.2007;110.8;67.9;0.63;38.9
25.04.2007;124.7;63.5;0.64;36.5
26.04.2007;104.6;64.3;0.59;34.0
27.04.2007;97.2;67.4;0.66;35.9
28.04.2007;114.3;42.4;0.52;26.9
29.04.2007;133.9;41.9;0.49;26.4
30.04.2007;79.2;61.5;0.66;31.4
01.05.2007;102.8;51.6;0.61;31.3
02.05.2007;66.1;39.1;0.38;30.4
03.05.2007;94.1;59.7;0.55;27.7
04.05.2007;69.6;65.1;0.66;31.8
05.05.2007;54.1;52.4;0.59;15.0
06.05.2007;82.5;38.4;0.55;17.5
07.05.2007;83.9;40.4;0.46;33.7
08.05.2007;51.5;29.4;0.33;18.0
09.05.2007;59.2;27.3;0.30;22.8
10.05.2007;79.5;60.3;0.60;41.5
11.05.2007;79.3;49.1;0.43;34.4
12.05.2007;78.2;35.2;0.44;17.6
13.05.2007;88.1;39.2;0.47;21.6
14.05.2007;61.4;49.3;0.43;23.2
15.05.2007;80.2;38.5;0.35;12.5
16.05.2007;67.6;38.9;0.39;18.8
17.05.2007;71.2;25.0;0.37;6.4
18.05.2007;98.9;44.7;0.52;20.4
19.05.2007;88.6;45.2;0.53;24.4
20.05.2007;107.8;29.4;0.40;17.8
21.05.2007;92.6;54.9;0.45;21.1
22.05.2007;91.2;56.2;0.52;29.5
23.05.2007;110.6;59.2;0.53;33.4
24.05.2007;109.3;54.4;0.48;35.6
25.05.2007;87.7;55.4;0.56;47.0
26.05.2007;76.1;47.7;0.46;38.1
27.05.2007;79.1;21.9;0.31;11.6
28.05.2007;80.2;30.7;0.40;1.2
29.05.2007;69.6;34.5;0.34;16.5
30.05.2007;99.7;53.7;0.45;26.3
31.05.2007;88.0;51.4;0.42;21.2
01.06.2007;66.6;59.0;0.52;8.9
02.06.2007;58.2;49.1;0.61;13.5
03.06.2007;68.4;44.9;0.56;28.1
04.06.2007;81.1;46.2;0.47;28.6
05.06.2007;84.9;56.1;0.51;23.7
06.06.2007;75.0;56.6;0.49;26.8
07.06.2007;87.8;49.8;0.53;27.1
08.06.2007;98.6;43.9;0.42;21.7
09.06.2007;110.6;37.8;0.40;15.7
10.06.2007;103.2;32.0;0.37;16.8
11.06.2007;82.6;41.2;0.43;17.9
12.06.2007;98.7;34.5;0.35;15.5
13.06.2007;101.8;37.5;0.38;16.8
14.06.2007;101.3;45.0;0.42;22.2
15.06.2007;67.9;54.8;0.46;12.6
16.06.2007;84.4;30.2;0.34;13.5
17.06.2007;91.2;27.0;0.31;14.5
18.06.2007;79.8;36.8;0.36;18.8
19.06.2007;88.2;49.5;0.43;21.9
20.06.2007;84.4;45.7;0.43;28.5
21.06.2007;86.8;40.5;0.36;16.1
22.06.2007;91.3;32.2;0.30;20.9
23.06.2007;79.4;24.1;0.26;9.7
24.06.2007;88.3;32.6;0.38;16.1
25.06.2007;78.5;47.7;0.38;15.7
26.06.2007;62.5;27.6;0.26;10.4
27.06.2007;53.1;36.7;0.34;10.9
28.06.2007;77.9;28.5;0.30;17.6
29.06.2007;91.4;32.8;0.34;18.5
30.06.2007;91.5;32.0;0.34;17.9
01.07.2007;104.5;28.5;0.34;18.0
02.07.2007;80.8;36.0;0.32;14.6
03.07.2007;54.6;40.3;0.38;15.9
04.07.2007;56.4;35.0;0.34;10.7
05.07.2007;58.1;31.7;0.30;13.3
06.07.2007;43.3;33.7;0.35;22.0
07.07.2007;68.8;30.6;0.41;17.6
08.07.2007;72.4;27.1;0.37;13.6
09.07.2007;66.4;44.1;0.38;12.7
10.07.2007;57.3;30.1;0.29;8.5
11.07.2007;45.8;34.7;0.34;12.8
12.07.2007;83.8;32.9;0.37;23.1
13.07.2007;106.4;43.6;0.43;23.5
14.07.2007;125.2;44.3;0.49;23.8
15.07.2007;135.5;34.8;0.46;25.5
16.07.2007;139.0;49.7;0.42;26.1
17.07.2007;114.5;57.4;0.48;33.2
18.07.2007;116.9;42.6;0.41;27.3
19.07.2007;115.8;44.1;0.45;25.8
20.07.2007;91.8;38.9;0.37;19.9
21.07.2007;86.3;26.9;0.30;15.5
22.07.2007;83.1;21.1;0.28;11.5
23.07.2007;76.5;32.9;0.34;18.3
24.07.2007;57.0;34.1;0.32;12.7
25.07.2007;101.6;41.0;0.38;16.9
26.07.2007;116.0;41.8;0.42;25.2
27.07.2007;77.4;32.6;0.33;21.9
28.07.2007;67.6;23.2;0.30;18.1
29.07.2007;69.5;16.1;0.24;13.5
30.07.2007;73.3;37.0;0.35;12.6
31.07.2007;87.1;42.8;0.38;19.8
01.08.2007;104.0;31.9;0.43;60.9
02.08.2007;60.2;55.3;0.58;48.3
03.08.2007;80.1;44.2;0.40;24.0
04.08.2007;104.8;37.0;0.44;22.5
05.08.2007;99.1;42.6;0.49;39.3
06.08.2007;115.7;37.8;0.38;44.8
07.08.2007;61.0;44.3;0.37;24.0
08.08.2007;61.5;39.1;0.32;14.0
09.08.2007;74.1;41.6;0.34;9.0
10.08.2007;57.8;31.7;0.34;16.8
11.08.2007;82.4;33.4;0.47;23.9
12.08.2007;100.1;27.6;0.39;16.0
13.08.2007;99.6;37.8;0.40;20.0
14.08.2007;97.6;40.2;0.45;24.0
15.08.2007;108.8;54.3;0.55;33.7
16.08.2007;75.3;29.3;0.29;14.9
17.08.2007;74.3;31.9;0.32;18.1
18.08.2007;84.4;36.0;0.40;22.0
19.08.2007;86.0;26.6;0.34;25.1
20.08.2007;48.5;34.3;0.34;14.0
21.08.2007;49.3;40.3;0.47;15.7
22.08.2007;74.7;34.5;0.37;15.2
23.08.2007;71.0;39.5;0.44;12.2
24.08.2007;83.0;52.2;0.53;22.1
25.08.2007;115.1;42.0;0.55;20.3
26.08.2007;107.0;38.5;0.52;20.9
27.08.2007;97.9;56.3;0.59;32.2
28.08.2007;50.1;56.3;0.65;36.8
29.08.2007;59.0;53.6;0.55;18.9
30.08.2007;67.9;48.0;0.55;19.4
31.08.2007;69.8;47.9;0.45;23.5
01.09.2007;59.9;30.0;0.42;15.9
02.09.2007;72.4;32.1;0.41;16.4
03.09.2007;66.8;33.6;0.35;15.9
04.09.2007;49.8;42.2;0.45;15.3
05.09.2007;56.7;41.8;0.44;17.6
06.09.2007;61.1;40.7;0.43;22.1
07.09.2007;56.6;36.3;0.42;19.3
08.09.2007;58.0;36.7;0.41;16.0
09.09.2007;63.1;38.9;0.40;13.8
10.09.2007;69.7;36.2;0.40;20.1
11.09.2007;51.5;43.0;0.43;17.3
12.09.2007;45.6;44.4;0.46;19.2
13.09.2007;56.4;50.1;0.56;30.4
14.09.2007;111.6;50.2;0.55;33.0
15.09.2007;104.4;44.4;0.56;29.4
16.09.2007;99.9;39.9;0.59;30.4
17.09.2007;88.1;56.0;0.63;38.4
18.09.2007;89.0;40.6;0.38;7.9
19.09.2007;59.4;44.7;0.47;17.4
20.09.2007;77.5;50.5;0.61;26.1
21.09.2007;79.2;52.9;0.67;29.3
22.09.2007;89.3;46.8;0.62;29.9
23.09.2007;102.5;34.6;0.52;27.8
24.09.2007;102.3;48.4;0.50;33.3
25.09.2007;78.4;46.8;0.46;16.0
26.09.2007;43.0;43.1;0.42;17.5
27.09.2007;52.4;44.5;0.48;18.7
28.09.2007;50.4;32.4;0.41;18.0
29.09.2007;85.5;35.6;0.46;14.0
30.09.2007;49.6;34.2;0.52;15.6
01.10.2007;53.3;36.6;0.60;25.8
02.10.2007;67.0;40.6;0.55;29.9
03.10.2007;49.6;45.3;0.53;30.9
04.10.2007;27.2;40.4;0.52;21.6
05.10.2007;13.8;34.1;0.48;29.2
06.10.2007;53.3;33.5;0.41;38.8
07.10.2007;66.6;30.3;0.44;27.6
08.10.2007;58.0;45.1;0.59;32.5
09.10.2007;59.0;51.6;0.65;40.5
10.10.2007;57.7;52.8;0.59;45.2
11.10.2007;42.0;55.8;0.60;57.9
12.10.2007;36.9;61.8;0.76;60.7
13.10.2007;44.1;52.1;0.60;49.4
14.10.2007;44.0;40.0;0.56;44.2
15.10.2007;41.9;50.5;0.68;44.0
16.10.2007;62.6;60.9;0.71;46.5
17.10.2007;70.4;59.1;0.57;38.1
18.10.2007;52.8;57.8;0.54;17.1
19.10.2007;39.1;54.9;0.61;25.8
20.10.2007;48.4;42.2;0.47;15.0
21.10.2007;51.5;32.4;0.36;20.8
22.10.2007;32.6;47.7;0.54;24.1
23.10.2007;33.7;46.4;0.58;33.9
24.10.2007;21.6;45.9;0.61;27.0
25.10.2007;10.2;44.5;0.62;34.8
26.10.2007;14.0;48.5;0.68;38.2
27.10.2007;20.4;52.0;0.82;48.0
28.10.2007;28.6;41.7;0.90;66.4
29.10.2007;28.1;54.7;0.93;58.5
30.10.2007;14.0;64.3;0.87;35.8
31.10.2007;19.1;48.2;0.59;30.4
